Date,Open,High,Low,Close,Volume,Dividends
2024-12-30 00:00:00-05:00,587.8900146484375,587.97998046875,584.4099731445312,586.25,13201830,0.0
2024-12-27 00:00:00-05:00,597.5399780273438,597.780029296875,590.760009765625,595.010009765625,64847900,0.0
2024-12-26 00:00:00-05:00,599.5,602.47998046875,598.0800170898438,601.3400268554688,41219100,0.0
2024-12-24 00:00:00-05:00,596.0599975585938,601.3400268554688,595.469970703125,601.2999877929688,33160100,0.0
2024-12-23 00:00:00-05:00,590.8900146484375,595.2999877929688,587.6599731445312,594.6900024414062,57635800,0.0
2024-12-20 00:00:00-05:00,581.77001953125,595.75,580.9099731445312,591.1500244140625,125716700,1.966
2024-12-19 00:00:00-05:00,589.3763378496345,591.0108512618689,583.8848107635582,584.1339721679688,85919500,0.0
2024-12-18 00:00:00-05:00,601.9539941025837,604.3758356273496,583.9247091414081,584.3134155273438,108248700,0.0
2024-12-17 00:00:00-05:00,602.1632992266615,603.1399924355125,600.8676721305405,602.262939453125,55773500,0.0
2024-12-16 00:00:00-05:00,603.9672494909545,605.7413079042333,603.1799213451903,604.7545776367188,43695200,0.0
2024-12-13 00:00:00-05:00,604.3659449754581,605.093476832397,600.7879603355512,602.1832885742188,35904700,0.0
2024-12-12 00:00:00-05:00,604.5453090600739,605.1233197139765,602.3028564453125,602.3028564453125,31543800,0.0
2024-12-11 00:00:00-05:00,603.7480059585018,606.3890803229617,603.4689159895003,605.42236328125,28677700,0.0
2024-12-10 00:00:00-05:00,603.3393405871914,603.7678908945335,600.1102185836498,600.7779541015625,37234500,0.0
2024-12-09 00:00:00-05:00,605.6515854430188,605.820998167633,602.0537093173363,602.6516723632812,34742700,0.0
2024-12-06 00:00:00-05:00,605.4024251817842,607.0269624285027,604.9838510488302,605.7711791992188,31241500,0.0
2024-12-05 00:00:00-05:00,605.621645611653,606.4389023128589,604.2662221791059,604.625,28762200,0.0
2024-12-04 00:00:00-05:00,603.5984841150722,605.8708044682724,602.9207724016469,605.6216430664062,42787600,0.0
2024-12-03 00:00:00-05:00,601.3660019623314,602.1333777080879,600.3195362505401,601.8842163085938,26906600,0.0
2024-12-02 00:00:00-05:00,600.9474044087409,602.2929125479887,600.4490815787433,601.605224609375,31746000,0.0
2024-11-29 00:00:00-05:00,597.6484881409995,601.3261129268905,597.36945899809,600.52880859375,30177400,0.0
2024-11-27 00:00:00-05:00,598.4458262225876,598.8344717672517,595.2765005812439,596.8212890625,34000200,0.0
